run_id,edificio,bloco,epw_ficheiro,cenario,horizonte,sistema,pv,bateria_kwh,software_versao,modelo_ficheiro,data,autor,notas
IIIUC-245-2050-P2-comPV,iiiUC,B,PRT_Coimbra_SSP245_2050.epw,SSP2-4.5,2050,Pack2_Daikin,PV_12m2_2700W_30SO,5,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-245-2050-P2-semPV,iiiUC,B,PRT_Coimbra_SSP245_2050.epw,SSP2-4.5,2050,Pack2_Daikin,sem,0,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2050-BAU-comPV,iiiUC,B,PRT_Coimbra_SSP370_2050.epw,SSP3-7.0,2050,BAU,PV_12m2_2700W_30SO,5,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2050-BAU-semPV,iiiUC,B,PRT_Coimbra_SSP370_2050.epw,SSP3-7.0,2050,BAU,sem,0,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2050-P1-comPV,iiiUC,B,PRT_Coimbra_SSP370_2050.epw,SSP3-7.0,2050,Pack1_Mitsubishi,PV_12m2_2700W_30SO,5,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2050-P1-semPV,iiiUC,B,PRT_Coimbra_SSP370_2050.epw,SSP3-7.0,2050,Pack1_Mitsubishi,sem,0,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2050-P2-comPV,iiiUC,B,PRT_Coimbra_SSP370_2050.epw,SSP3-7.0,2050,Pack2_Daikin,PV_12m2_2700W_30SO,5,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2050-P2-semPV,iiiUC,B,PRT_Coimbra_SSP370_2050.epw,SSP3-7.0,2050,Pack2_Daikin,sem,0,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2080-BAU-comPV,iiiUC,B,PRT_Coimbra_SSP370_2080.epw,SSP3-7.0,2080,BAU,PV_12m2_2700W_30SO,5,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2080-BAU-semPV,iiiUC,B,PRT_Coimbra_SSP370_2080.epw,SSP3-7.0,2080,BAU,sem,0,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2080-P1-comPV,iiiUC,B,PRT_Coimbra_SSP370_2080.epw,SSP3-7.0,2080,Pack1_Mitsubishi,PV_12m2_2700W_30SO,5,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2080-P1-semPV,iiiUC,B,PRT_Coimbra_SSP370_2080.epw,SSP3-7.0,2080,Pack1_Mitsubishi,sem,0,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2080-P2-comPV,iiiUC,B,PRT_Coimbra_SSP370_2080.epw,SSP3-7.0,2080,Pack2_Daikin,PV_12m2_2700W_30SO,5,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
IIIUC-370-2080-P2-semPV,iiiUC,B,PRT_Coimbra_SSP370_2080.epw,SSP3-7.0,2080,Pack2_Daikin,sem,0,EnergyPlus 9.4,iiiUC_BAU.idf / iiiUC_Multisplit.idf / iiiUC_HP.idf,2026-07-16,MSF,EPW: TMYx 2007-2021 (climate.onebuilding.org) morphed com Future Weather Generator v4.3.0 (ensemble CMIP6); SSP3-7.0 substitui SSP5-8.5 (reuniao 09-07-2026)
